Variable,Mean,Std,Min,1%,25%,50%,75%,99%,Max,Skewness,Kurtosis,AR(1)
x96,3.394334716799056e-05,0.03184393883889047,-0.30190870701442074,-0.0859694398961163,-0.008062961600674363,0.00018674601949327484,0.008257966097709173,0.09669842045576495,0.31766963221642164,0.24304387063872634,22.008516709183787,0.1977999038932638
x97,0.012200185387607683,1.2244353656187836,-2.8229311424452606,-2.3616215202691144,-1.0166393102817952,0.027079964747091647,1.0112962253626208,2.2782261819175664,2.6725892603177215,-0.05626179515440412,-1.0302607518641103,-0.03846772533551214
x98,0.00012056079194839178,0.12542036958834463,-0.37630004828488334,-0.3253826233281767,-0.09120496133700638,0.0017610429640240702,0.07376882393513105,0.3260314433024428,0.4360430101436575,-0.05376477868946062,1.0339370544691748,0.677012050351774
c1,-0.0014330549136816382,0.5934582196104107,-4.1197616640495935,-2.083375930236806,-0.17849176297511904,0.004176759280204667,0.18052601349892017,1.8067908121701135,4.517094489165585,0.29029207884296493,13.35852692935601,0.09760325988379638
c2,7.796647856616922e-05,0.01268532740627312,-0.09109917244226651,-0.039331913538913896,-0.00631518659239072,0.0015772715851811725,0.005926129344239861,0.03554164677502152,0.07743003231417234,-0.19869204162529605,5.940852664911913,0.666251170631749
c3,3.4770475304082965e-05,0.09677795483288969,-0.4572793529327681,-0.2598271345660081,-0.051611295239675004,0.00032444988244195727,0.049952981629927784,0.2688154566180897,0.6229956173159099,0.07803899828750822,2.738842610208015,0.06777194635687539
c4,-2.5412998727333555e-05,0.032085858032632614,-0.24230460590666114,-0.08397876418357404,-0.014424129884965775,-0.0005010175289130725,0.013929487805294238,0.09472254360469197,0.20544746145799353,0.2414185759120204,8.718881740457697,0.07189382400142875
c5,-0.016575828031592268,0.5676000909262311,-2.0308658263852997,-1.3305245271244892,-0.38879836118731226,-0.023658433354448838,0.3733247011066615,1.2387741634937508,1.9915768068017425,0.002348967029618811,0.010286412088310382,0.0543797136723264
c6,0.005823085845113819,1.8507503621754553,-7.055744094758214,-5.608166268424949,-0.4474842640777641,-0.012096795940780947,0.4100083728883156,5.841451395688378,7.230537477870679,0.1317137257039795,3.117316566543363,-0.27862116641240386
c7,0.0003865014843627148,1.0829697455043068,-6.362638235177732,-3.9451828517653067,-0.22967733262061696,-0.007104509576872697,0.20581516356501817,4.144488203742702,6.33954894957578,-0.03721082612902705,11.411749417220761,-0.09396234084673992
